iter	Logloss
0	0.6594384259
1	0.6300458893
2	0.6053606452
3	0.5835721756
4	0.5644462921
5	0.5479665677
6	0.5329821647
7	0.5195876888
8	0.509521647
9	0.4997051832
10	0.4907282992
11	0.4822350506
12	0.4753660861
13	0.4693869148
14	0.4657326545
15	0.4610441682
16	0.4567927931
17	0.4526514717
18	0.4490886816
19	0.4456243555
20	0.4427573009
21	0.4401183506
22	0.4371101974
23	0.4346434917
24	0.4327962448
25	0.4308867783
26	0.429077336
27	0.4269097354
28	0.4252653932
29	0.4237195085
30	0.4223758677
31	0.4208854781
32	0.4196756968
33	0.4185954614
34	0.4176470543
35	0.4168337869
36	0.415995758
37	0.4151194473
38	0.4142994379
39	0.4134373167
40	0.4127961243
41	0.4121450907
42	0.4114054598
43	0.410907262
44	0.4104051341
45	0.4099793523
46	0.4092682746
47	0.4087956295
48	0.4083912742
49	0.4078706536
50	0.4073116824
51	0.4070672287
52	0.4067752243
53	0.4064312539
54	0.4058170771
55	0.405220638
56	0.4048528915
57	0.4043732819
58	0.4040160938
59	0.4037498473
60	0.4034635
61	0.4031499939
62	0.4029336216
63	0.4025349198
64	0.4022259692
65	0.4018598394
66	0.4013441461
67	0.4011770711
68	0.4007576014
69	0.4005744117
70	0.4002779516
71	0.4000109675
72	0.3996605232
73	0.399512716
74	0.399214731
75	0.39911356
76	0.3987773963
77	0.3985360579
78	0.3981980478
79	0.3979009962
80	0.3976427266
81	0.3974290476
82	0.3972090215
83	0.397055642
84	0.3968585847
85	0.3964990864
86	0.3962562325
87	0.396011269
88	0.3957207895
89	0.3955582849
90	0.3953840904
91	0.3953021341
92	0.3950498141
93	0.3948147765
94	0.3945952376
95	0.3943314422
96	0.3940312612
97	0.3938601017
98	0.3936535294
99	0.3933990293
100	0.3932646037
101	0.3930727531
102	0.3928168785
103	0.39264243
104	0.3924249943
105	0.3921033482
106	0.3918634515
107	0.3915729699
108	0.3913372764
109	0.3911157733
110	0.3907991228
111	0.3906291114
112	0.3904613102
113	0.3903366518
114	0.3901635107
115	0.390036894
116	0.3899325213
117	0.389700511
118	0.3894147689
119	0.3892438899
120	0.3890163318
121	0.3888967572
122	0.3887398284
123	0.3885278004
124	0.3883956493
125	0.3881755987
126	0.3880530448
127	0.3879051789
128	0.3877264681
129	0.3875598188
130	0.3873958949
131	0.3871037126
132	0.3869355721
133	0.386572343
134	0.3863351429
135	0.386078179
136	0.385950636
137	0.3857540491
138	0.3855387449
139	0.3854517971
140	0.385234874
141	0.3848695935
142	0.3847661897
143	0.3845094458
144	0.3842835718
145	0.3840448337
146	0.383869935
147	0.3836815004
148	0.3835268241
149	0.3832402843
150	0.3830915295
151	0.3830106933
152	0.3827235385
153	0.3825669601
154	0.3823767437
155	0.3821674379
156	0.38189111
157	0.3817315999
158	0.3815183858
159	0.3812988098
160	0.3811194535
161	0.380710553
162	0.3805001201
163	0.3804122559
164	0.3802316596
165	0.3800620836
166	0.3799755327
167	0.3797092791
168	0.3796129782
169	0.3792163024
170	0.3789614085
171	0.3788579474
172	0.3785654118
173	0.3783589632
174	0.3781440143
175	0.377872129
176	0.377642412
177	0.3773178015
178	0.3769878454
179	0.3767493624
180	0.3764819051
181	0.3763329752
182	0.376030546
183	0.3757390411
184	0.3755510984
185	0.3753488641
186	0.3752231671
187	0.3751017412
188	0.374996471
189	0.3748541197
190	0.3746247787
191	0.3743655569
192	0.3740614973
193	0.3738756938
194	0.3737507072
195	0.3734720041
196	0.3732017262
197	0.3730041831
198	0.3728274036
199	0.3726228246
200	0.3725146659
201	0.372178549
202	0.3719680344
203	0.3716977561
204	0.37152966
205	0.37132124
206	0.3710417868
207	0.370861969
208	0.370667133
209	0.3704519031
210	0.370248984
211	0.3700678463
212	0.3699132394
213	0.3696102525
214	0.3694453543
215	0.3692921942
216	0.3691117911
217	0.3688647811
218	0.3685218349
219	0.3681861788
220	0.3677987118
221	0.3675806179
222	0.3673925477
223	0.3671620808
224	0.3669130893
225	0.3666638336
226	0.366453033
227	0.366279027
228	0.3661296359
229	0.3660015858
230	0.365866353
231	0.3657000335
232	0.3654278501
233	0.3651088286
234	0.364853294
235	0.3646705546
236	0.3645008111
237	0.3642286526
238	0.3639753537
239	0.3635704846
240	0.3634148594
241	0.363218639
242	0.3630211025
243	0.3628882805
244	0.3626010885
245	0.3624216715
246	0.3621835422
247	0.3620775065
248	0.3620044421
249	0.3616891071
250	0.3614078902
251	0.3611829978
252	0.3610230311
253	0.3607654608
254	0.3605220489
255	0.3602703727
256	0.360034471
257	0.3598322034
258	0.3596902672
259	0.35955926
260	0.3592668834
261	0.3590794504
262	0.3588636739
263	0.3587165929
264	0.3585619607
265	0.3583392326
266	0.3581700412
267	0.3580505977
268	0.357792351
269	0.3577185831
270	0.3576486329
271	0.3573938965
272	0.3570355027
273	0.3567002586
274	0.3563917112
275	0.3562403678
276	0.3559673322
277	0.3558430994
278	0.3556532316
279	0.3554243645
280	0.3552954542
281	0.3551459072
282	0.3550112242
283	0.3548644977
284	0.3547264926
285	0.3544099517
286	0.3541914079
287	0.3539597751
288	0.3537606068
289	0.3534393887
290	0.3531947898
291	0.353101125
292	0.3528188791
293	0.3526728711
294	0.3524174685
295	0.3521625033
296	0.3520681463
297	0.3518005464
298	0.3516367741
299	0.351458938
