iter	Passed	Remaining
0	194	58270
1	213	31822
2	219	21712
3	229	17000
4	235	13923
5	244	11997
6	250	10471
7	258	9422
8	263	8531
9	275	7981
10	286	7522
11	301	7234
12	347	7669
13	401	8198
14	476	9050
15	509	9045
16	534	8906
17	578	9064
18	584	8637
19	593	8305
20	598	7945
21	606	7667
22	611	7368
23	617	7100
24	624	6868
25	629	6636
26	639	6463
27	650	6316
28	659	6161
29	668	6017
30	676	5873
31	692	5799
32	701	5678
33	710	5557
34	731	5539
35	743	5450
36	755	5369
37	775	5343
38	788	5275
39	807	5246
40	832	5261
41	841	5168
42	854	5107
43	868	5053
44	875	4962
45	886	4897
46	898	4836
47	905	4755
48	916	4692
49	922	4610
50	929	4540
51	935	4460
52	940	4383
53	948	4321
54	953	4248
55	960	4186
56	965	4117
57	970	4051
58	977	3994
59	983	3933
60	988	3872
61	995	3821
62	1000	3765
63	1005	3708
64	1012	3659
65	1016	3605
66	1021	3552
67	1029	3512
68	1034	3462
69	1039	3413
70	1044	3367
71	1048	3321
72	1056	3285
73	1063	3249
74	1073	3220
75	1079	3180
76	1087	3150
77	1093	3113
78	1099	3074
79	1106	3042
80	1112	3008
81	1117	2971
82	1123	2937
83	1129	2903
84	1137	2877
85	1146	2852
86	1164	2851
87	1178	2837
88	1195	2835
89	1208	2819
90	1219	2801
91	1226	2773
92	1240	2760
93	1261	2765
94	1296	2797
95	1314	2792
96	1321	2766
97	1346	2774
98	1362	2765
99	1369	2738
100	1378	2716
101	1383	2685
102	1387	2654
103	1395	2630
104	1400	2601
105	1406	2574
106	1411	2545
107	1416	2518
108	1420	2489
109	1426	2464
110	1431	2438
111	1442	2421
112	1457	2412
113	1474	2405
114	1510	2429
115	1530	2427
116	1557	2436
117	1583	2441
118	1629	2479
119	1644	2467
120	1674	2476
121	1694	2471
122	1743	2508
123	1766	2506
124	1795	2513
125	1800	2485
126	1812	2469
127	1820	2446
128	1825	2420
129	1830	2393
130	1837	2370
131	1842	2344
132	1847	2319
133	1912	2369
134	1973	2411
135	1980	2387
136	1991	2369
137	2003	2351
138	2019	2338
139	2025	2314
140	2030	2290
141	2041	2272
142	2054	2256
143	2061	2232
144	2066	2209
145	2090	2205
146	2105	2190
147	2121	2179
148	2154	2183
149	2167	2167
150	2183	2154
151	2197	2139
152	2202	2115
153	2207	2092
154	2214	2072
155	2219	2048
156	2226	2027
157	2231	2005
158	2239	1986
159	2260	1977
160	2280	1968
161	2292	1952
162	2302	1935
163	2312	1917
164	2317	1896
165	2326	1877
166	2331	1856
167	2335	1835
168	2342	1815
169	2347	1795
170	2352	1774
171	2358	1755
172	2365	1736
173	2373	1718
174	2378	1699
175	2383	1679
176	2390	1661
177	2396	1642
178	2401	1623
179	2416	1611
180	2429	1597
181	2446	1586
182	2481	1586
183	2541	1602
184	2556	1588
185	2562	1570
186	2572	1554
187	2578	1536
188	2587	1519
189	2592	1500
190	2596	1481
191	2604	1464
192	2608	1446
193	2613	1428
194	2621	1411
195	2627	1393
196	2634	1377
197	2639	1359
198	2645	1342
199	2653	1326
200	2658	1309
201	2663	1292
202	2671	1276
203	2676	1259
204	2684	1244
205	2692	1228
206	2706	1215
207	2715	1201
208	2725	1186
209	2739	1173
210	2743	1157
211	2756	1144
212	2770	1131
213	2775	1115
214	2788	1102
215	2798	1088
216	2808	1074
217	2821	1061
218	2835	1048
219	2840	1032
220	2852	1019
221	2858	1004
222	2871	991
223	2889	980
224	2915	971
225	2935	961
226	2951	949
227	2964	936
228	2970	921
229	2981	907
230	2986	891
231	2993	877
232	3004	863
233	3014	850
234	3019	835
235	3026	820
236	3031	805
237	3036	790
238	3043	776
239	3048	762
240	3052	747
241	3059	733
242	3064	718
243	3070	704
244	3078	690
245	3082	676
246	3087	662
247	3095	649
248	3100	635
249	3109	621
250	3115	608
251	3123	594
252	3128	581
253	3133	567
254	3139	553
255	3144	540
256	3151	527
257	3158	514
258	3164	500
259	3169	487
260	3177	474
261	3185	461
262	3194	449
263	3200	436
264	3219	425
265	3229	412
266	3245	401
267	3257	388
268	3269	376
269	3277	364
270	3289	352
271	3305	340
272	3324	328
273	3344	317
274	3356	305
275	3361	292
276	3371	279
277	3376	267
278	3385	254
279	3392	242
280	3402	230
281	3407	217
282	3416	205
283	3421	192
284	3425	180
285	3435	168
286	3442	155
287	3458	144
288	3502	133
289	3514	121
290	3523	108
291	3539	96
292	3551	84
293	3562	72
294	3573	60
295	3587	48
296	3597	36
297	3602	24
298	3606	12
299	3613	0
